id,cpp_file,cpp_line,rust_file,signal_expression
emColorField-245,src/emCore/emColorField.cpp,245,crates/emcore/src/emColorField.rs,sf->GetValueSignal()
emColorField-255,src/emCore/emColorField.cpp,255,crates/emcore/src/emColorField.rs,sf->GetValueSignal()
emColorField-265,src/emCore/emColorField.cpp,265,crates/emcore/src/emColorField.rs,sf->GetValueSignal()
emColorField-277,src/emCore/emColorField.cpp,277,crates/emcore/src/emColorField.rs,sf->GetValueSignal()
emColorField-288,src/emCore/emColorField.cpp,288,crates/emcore/src/emColorField.rs,sf->GetValueSignal()
emColorField-298,src/emCore/emColorField.cpp,298,crates/emcore/src/emColorField.rs,sf->GetValueSignal()
emColorField-308,src/emCore/emColorField.cpp,308,crates/emcore/src/emColorField.rs,sf->GetValueSignal()
emColorField-320,src/emCore/emColorField.cpp,320,crates/emcore/src/emColorField.rs,tf->GetTextSignal()
emConfigModel-61,src/emCore/emConfigModel.cpp,61,crates/emcore/src/emConfigModel.rs,AutoSaveTimer.GetSignal()
emCoreConfigPanel-80,src/emCore/emCoreConfigPanel.cpp,80,crates/emcore/src/emCoreConfigPanel.rs,ResetButton->GetClickSignal()
emCoreConfigPanel-299,src/emCore/emCoreConfigPanel.cpp,299,crates/emcore/src/emCoreConfigPanel.rs,StickBox->GetCheckSignal()
emCoreConfigPanel-300,src/emCore/emCoreConfigPanel.cpp,300,crates/emcore/src/emCoreConfigPanel.rs,EmuBox->GetCheckSignal()
emCoreConfigPanel-301,src/emCore/emCoreConfigPanel.cpp,301,crates/emcore/src/emCoreConfigPanel.rs,PanBox->GetCheckSignal()
emCoreConfigPanel-563,src/emCore/emCoreConfigPanel.cpp,563,crates/emcore/src/emCoreConfigPanel.rs,MemField->GetValueSignal()
emCoreConfigPanel-746,src/emCore/emCoreConfigPanel.cpp,746,crates/emcore/src/emCoreConfigPanel.rs,MaxRenderThreadsField->GetValueSignal()
emCoreConfigPanel-755,src/emCore/emCoreConfigPanel.cpp,755,crates/emcore/src/emCoreConfigPanel.rs,AllowSIMDBox->GetCheckSignal()
emCoreConfigPanel-773,src/emCore/emCoreConfigPanel.cpp,773,crates/emcore/src/emCoreConfigPanel.rs,DownscaleQualityField->GetValueSignal()
emCoreConfigPanel-791,src/emCore/emCoreConfigPanel.cpp,791,crates/emcore/src/emCoreConfigPanel.rs,UpscaleQualityField->GetValueSignal()
emDialog-38,src/emCore/emDialog.cpp,38,crates/emcore/src/emDialog.rs,GetCloseSignal()
emFileDialog-42,src/emCore/emFileDialog.cpp,42,crates/emcore/src/emFileDialog.rs,Fsb->GetFileTriggerSignal()
emFileDialog-196,src/emCore/emFileDialog.cpp,196,crates/emcore/src/emFileDialog.rs,OverwriteDialog->GetFinishSignal()
emFileModel-103,src/emCore/emFileModel.cpp,103,crates/emcore/src/emFileModel.rs,UpdateSignalModel->Sig
emFilePanel-50,src/emCore/emFilePanel.cpp,50,crates/emcore/src/emFilePanel.rs,fileModel->GetFileStateSignal()
emFileSelectionBox-64,src/emCore/emFileSelectionBox.cpp,64,crates/emcore/src/emFileSelectionBox.rs,FileModelsUpdateSignalModel->Sig
emFileSelectionBox-514,src/emCore/emFileSelectionBox.cpp,514,crates/emcore/src/emFileSelectionBox.rs,ParentDirField->GetTextSignal()
emFileSelectionBox-521,src/emCore/emFileSelectionBox.cpp,521,crates/emcore/src/emFileSelectionBox.rs,HiddenCheckBox->GetCheckSignal()
emFileSelectionBox-531,src/emCore/emFileSelectionBox.cpp,531,crates/emcore/src/emFileSelectionBox.rs,FilesLB->GetSelectionSignal()
emFileSelectionBox-532,src/emCore/emFileSelectionBox.cpp,532,crates/emcore/src/emFileSelectionBox.rs,FilesLB->GetItemTriggerSignal()
emFileSelectionBox-540,src/emCore/emFileSelectionBox.cpp,540,crates/emcore/src/emFileSelectionBox.rs,NameField->GetTextSignal()
emFileSelectionBox-550,src/emCore/emFileSelectionBox.cpp,550,crates/emcore/src/emFileSelectionBox.rs,FiltersLB->GetSelectionSignal()
emImageFile-117,src/emCore/emImageFile.cpp,117,crates/emcore/src/emImageFile.rs,GetVirFileStateSignal()
